Sending ping and listen for a long sequence. 
ADC buffer deallocated.
Successfully allocated memory for ADC buffer of length  15000; bytes on the heap.
Deadtime:0.000000000; s
0;
43;
391;
4095;
448;
43;
4095;
1536;
2398;
640;
4095;
2048;
4095;
769;
1746;
800;
4095;
673;
4095;
1056;
192;
1620;
800;
4095;
609;
4095;
673;
2206;
2212;
4095;
1568;
4095;
609;
4095;
1888;
3839;
1568;
264;
4095;
577;
4095;
609;
4095;
1664;
4095;
832;
2374;
1728;
3218;
2904;
3162;
1665;
1187;
4095;
801;
4095;
705;
4095;
961;
4095;
1089;
3071;
2768;
1992;
2138;
1440;
4095;
1536;
4095;
1001;
2874;
1321;
4095;
969;
4095;
1696;
2480;
1996;
2902;
3255;
800;
4095;
1152;
4095;
1344;
4095;
1536;
3775;
2152;
2362;
1792;
3062;
2240;
2262;
2960;
1536;
3327;
1920;
3512;
1057;
4095;
1856;
2974;
2112;
2439;
1928;
3062;
3135;
1664;
2706;
2048;
3142;
1480;
3583;
1216;
4095;
2313;
2682;
1536;
2916;
2712;
2328;
3102;
1440;
2640;
2184;
3580;
1408;
3030;
1992;
2748;
2057;
3044;
1920;
2656;
3002;
1920;
2622;
2084;
3162;
1824;
3282;
1568;
2512;
2442;
3098;
1920;
2698;
2440;
2221;
2940;
2216;
2419;
2056;
3292;
1864;
2778;
2064;
2736;
2153;
3126;
2048;
2212;
2850;
2337;
2591;
2304;
2794;
2016;
3092;
2048;
2438;
2187;
3172;
2112;
2610;
2368;
2170;
2768;
2636;
2531;
1952;
2978;
2112;
2682;
2257;
2732;
2128;
3016;
2281;
2133;
2570;
2623;
2578;
2395;
2654;
1920;
2896;
2424;
2612;
2073;
2896;
2216;
2518;
2547;
2288;
2486;
2726;
2595;
2016;
2730;
2272;
2704;
2370;
2704;
2016;
2740;
2560;
2339;
2459;
2586;
2508;
2390;
2730;
2048;
2650;
2552;
2698;
2088;
2662;
2320;
2540;
2652;
2453;
2272;
2546;
2704;
2184;
2670;
2360;
2586;
2401;
2706;
2121;
2542;
2658;
2512;
2349;
2522;
2420;
2394;
2806;
2296;
2450;
2458;
2666;
2232;
2650;
2413;
2486;
2534;
2550;
2240;
2450;
2738;
2373;
2574;
2384;
2448;
2371;
2790;
2328;
2460;
2504;
2552;
2329;
2558;
2502;
2367;
2736;
2409;
2367;
2364;
2686;
2377;
2646;
2437;
2377;
2408;
2647;
2432;
2411;
2660;
2372;
2480;
2450;
2498;
2358;
2758;
2453;
2380;
2404;
2532;
2448;
2602;
2586;
2291;
2516;
2502;
2448;
2430;
2674;
2411;
2512;
2438;
2384;
2398;
2699;
2571;
2374;
2480;
2377;
2443;
2584;
2610;
2360;
2570;
2442;
2412;
2419;
2614;
2476;
2552;
2534;
2299;
2398;
2580;
2584;
2457;
2598;
2340;
2436;
2496;
2548;
2425;
2615;
2536;
2348;
2446;
2462;
2504;
2576;
2642;
2315;
2430;
2448;
2504;
2502;
2630;
2445;
2416;
2512;
2396;
2439;
2584;
2611;
2412;
2500;
2363;
2420;
2546;
2623;
2438;
2464;
2480;
2397;
2476;
2551;
2496;
2488;
2578;
2377;
2404;
2510;
2535;
2490;
2572;
2439;
2390;
2510;
2526;
2464;
2532;
2534;
2412;
2487;
2467;
2452;
2496;
2612;
2446;
2451;
2473;
2462;
2482;
2559;
2478;
2432;
2550;
2458;
2442;
2486;
2536;
2448;
2546;
2475;
2410;
2476;
2538;
2483;
2468;
2532;
2414;
2494;
2518;
2478;
2427;
2552;
2482;
2458;
2502;
2460;
2456;
2522;
2516;
2422;
2510;
2494;
2460;
2474;
2522;
2456;
2504;
2528;
2435;
2456;
2515;
2494;
2482;
2535;
2458;
2450;
2512;
2486;
2446;
2534;
2514;
2464;
2478;
2472;
2444;
2528;
2544;
2466;
