Sending ping and listen for a long sequence. 
ADC buffer deallocated.
Successfully allocated memory for ADC buffer of length  15000; bytes on the heap.
Deadtime:0.000000000; s
1034;
1005;
1262;
1483;
1634;
1719;
1782;
1815;
1838;
1855;
1887;
1918;
1957;
1992;
2020;
2038;
2068;
2108;
2132;
2160;
2184;
2206;
2212;
2230;
2252;
2278;
2294;
2308;
2315;
2318;
2328;
2347;
2362;
2380;
2379;
2372;
2374;
2391;
2410;
2420;
2418;
2411;
2410;
2422;
2438;
2448;
2454;
2448;
2436;
2444;
2452;
2464;
2466;
2467;
2456;
2454;
2459;
2470;
2483;
2488;
2474;
2464;
2457;
2472;
2488;
2492;
2480;
2470;
2464;
2470;
2476;
2488;
2494;
2487;
2474;
2468;
2472;
2487;
2494;
2491;
2486;
2472;
2471;
2476;
2488;
2500;
2496;
2486;
2471;
2471;
2480;
2492;
2502;
2496;
2482;
2470;
2475;
2484;
2492;
2499;
2492;
2480;
2468;
2476;
2484;
2500;
2494;
2490;
2478;
2474;
2480;
2490;
2502;
2499;
2486;
2469;
2466;
2484;
2494;
2500;
2496;
2480;
2468;
2467;
2488;
2506;
2508;
2492;
2471;
2459;
2474;
2495;
2512;
2504;
2484;
2464;
2466;
2476;
2506;
2504;
2492;
2468;
2458;
2472;
2494;
2508;
2507;
2488;
2464;
2464;
2475;
2499;
2510;
2498;
2474;
2464;
2462;
2480;
2504;
2516;
2498;
2468;
2458;
2472;
2494;
2512;
2507;
2484;
2464;
2464;
2475;
2500;
2508;
2498;
2478;
2458;
2460;
2484;
2508;
2510;
2498;
2466;
2456;
2472;
2492;
2510;
2506;
2488;
2460;
2460;
2476;
2500;
2512;
2500;
2480;
2460;
2464;
2477;
2504;
2505;
2490;
2469;
2464;
2467;
2490;
2512;
2508;
2480;
2466;
2463;
2472;
2500;
2512;
2501;
2478;
2462;
2468;
2483;
2504;
2500;
2488;
2474;
2462;
2473;
2490;
2504;
2498;
2486;
2467;
2472;
2480;
2496;
2503;
2501;
2474;
2466;
2468;
2490;
2502;
2494;
2492;
2475;
2472;
2482;
2490;
2502;
2503;
2483;
2475;
2476;
2480;
2490;
2503;
2491;
2480;
2470;
2474;
2486;
2496;
2494;
2486;
2483;
2476;
2475;
2490;
2495;
2498;
2490;
2476;
2475;
2480;
2488;
2499;
2494;
2484;
2476;
2476;
2484;
2490;
2498;
2492;
2478;
2476;
2474;
2488;
2496;
2492;
2486;
2476;
2472;
2483;
2492;
2496;
2491;
2478;
2475;
2472;
2491;
2495;
2494;
2484;
2478;
2475;
2484;
2488;
2496;
2484;
2488;
2475;
2480;
2486;
2494;
2491;
2490;
2478;
2480;
2485;
2491;
2496;
2490;
2486;
2478;
2475;
2482;
2494;
2499;
2492;
2480;
2472;
2473;
2492;
2498;
2500;
2487;
2476;
2474;
2482;
2492;
2497;
2490;
2483;
2478;
2478;
2484;
2492;
2498;
2487;
2478;
2476;
2478;
2487;
2496;
2500;
2488;
2476;
2471;
2480;
2498;
2502;
2491;
2484;
2475;
2474;
2482;
2496;
2502;
2487;
2476;
2469;
2476;
2490;
2496;
2496;
2484;
2475;
2475;
2482;
2495;
2499;
2494;
2482;
2475;
2467;
2494;
2496;
2502;
2492;
2480;
2472;
2482;
2487;
2496;
2496;
2481;
2476;
2470;
2479;
2490;
2500;
2492;
2487;
2476;
2478;
2490;
2498;
2493;
2484;
2482;
2478;
2483;
2495;
2488;
2488;
2482;
2476;
2480;
2487;
2498;
2494;
2491;
2478;
2484;
2483;
2492;
2499;
2488;
2482;
2480;
2482;
2488;
2496;
2491;
2489;
2479;
2480;
2478;
2491;
2490;
2488;
2486;
2484;
2480;
2484;
2488;
2487;
2491;
2483;
2480;
2476;
2482;
2487;
2490;
2488;
2488;
2478;
2480;
2472;
2492;
2493;
2499;
2489;
2478;
2474;
2478;
2496;
2498;
2484;
2482;
2472;
2479;
2490;
2494;
2498;
2484;
2476;
2478;
2480;
2494;
2494;
2492;
2488;
2483;
2480;
2479;
2487;
2494;
2500;
2492;
2476;
2470;
2480;
2500;
2507;
2492;
2486;
2471;
2474;
2481;
2506;
2506;
2488;
2476;
2470;
2478;
2494;
2500;
2502;
2484;
2472;
2471;
2482;
2494;
2496;
2499;
2479;
2468;
2470;
2492;
2498;
2495;
2492;
2479;
2469;
2484;
2492;
2495;
2488;
2482;
2477;
2480;
2488;
2492;
2488;
2484;
2476;
2488;
2492;
2490;
2471;
2476;
2479;
2500;
2496;
2490;
2481;
2474;
2480;
2488;
2498;
2500;
2484;
2486;
2476;
2466;
2486;
2498;
2508;
2499;
2475;
2462;
2467;
2487;
2512;
2512;
2490;
2464;
2454;
2472;
2499;
2518;
2507;
2482;
2455;
2459;
2480;
2508;
2524;
2506;
2470;
2450;
2458;
2498;
2516;
2510;
2484;
2458;
2459;
2482;
2504;
2508;
2500;
2476;
2460;
2468;
2487;
2506;
2504;
2488;
2471;
2470;
2474;
2502;
2502;
2499;
2483;
2472;
2475;
2484;
2496;
2495;
2490;
2476;
2478;
2488;
2491;
2496;
2488;
2476;
2476;
2483;
2499;
2502;
2490;
2476;
2470;
2476;
2498;
2511;
2496;
2476;
2462;
2470;
2493;
2506;
2506;
2489;
2465;
2464;
2476;
2510;
2514;
2504;
2479;
2456;
2464;
2487;
2510;
2512;
2492;
2456;
2456;
2468;
2503;
2519;
2508;
2480;
2458;
2456;
2487;
2516;
2518;
2504;
2470;
2456;
2461;
2490;
2516;
2518;
2496;
2460;
2453;
2468;
2502;
2515;
2507;
2484;
2459;
2458;
2472;
2498;
2512;
2506;
2480;
2460;
2458;
2482;
2502;
2519;
2498;
2480;
2454;
2460;
2484;
2516;
2512;
2498;
2466;
2452;
2466;
2492;
2512;
2516;
2490;
2462;
2454;
2474;
2506;
2516;
2508;
2482;
2457;
2462;
2488;
2512;
2516;
2502;
2467;
2452;
2464;
2492;
2514;
2512;
2484;
2462;
2452;
2476;
2500;
2510;
2500;
2480;
2465;
2460;
2486;
2503;
2510;
2490;
2464;
2462;
2472;
2500;
2512;
2507;
2480;
2463;
2460;
2482;
2496;
2506;
2499;
2478;
2464;
2460;
2486;
2507;
2508;
2496;
2474;
2461;
2467;
2490;
2504;
2504;
2494;
2476;
2464;
2474;
2491;
2506;
2506;
2492;
2474;
2467;
2474;
2490;
2503;
2507;
2488;
2470;
2463;
2474;
2498;
2518;
2511;
2480;
2462;
2463;
2486;
2508;
2514;
2502;
2468;
2459;
2470;
2488;
2512;
2508;
2494;
2468;
2459;
2472;
2488;
2516;
2510;
2483;
2466;
2466;
2474;
2500;
2514;
2504;
2480;
2464;
2464;
2484;
2506;
2510;
2496;
2474;
2463;
2468;
2483;
2508;
2512;
2488;
2470;
2464;
2479;
2492;
2506;
2506;
2485;
2467;
2464;
2475;
2490;
2504;
2504;
2492;
2475;
2464;
2468;
2487;
2510;
2506;
2484;
2462;
2456;
2473;
2500;
2514;
2502;
2480;
2468;
2462;
2482;
2506;
2512;
2500;
2478;
2461;
2460;
2488;
2512;
2516;
2502;
2470;
2451;
2464;
2486;
2508;
2508;
2490;
2468;
2458;
2474;
2499;
2514;
2510;
2483;
2461;
2467;
2471;
2506;
2516;
2504;
2475;
2462;
2466;
2485;
2504;
2512;
2494;
2474;
2464;
2468;
2491;
2504;
2506;
2494;
2470;
2464;
2482;
2496;
2507;
2500;
2475;
2464;
2468;
2480;
2502;
2514;
2494;
2475;
2460;
2466;
2487;
2512;
2516;
2491;
2460;
2456;
2476;
2506;
2520;
2504;
2470;
2452;
2467;
2490;
2516;
2522;
2496;
2456;
2446;
2462;
2504;
2528;
2520;
2476;
2451;
2444;
2478;
2518;
2534;
2510;
2466;
2440;
2448;
2492;
2530;
2528;
2498;
2456;
2434;
2458;
2500;
2536;
2526;
2483;
2442;
2434;
2472;
2516;
2543;
2520;
2472;
2428;
2428;
2478;
2536;
2540;
2508;
2451;
2430;
2440;
2504;
2546;
2535;
2488;
2433;
2428;
2458;
2518;
2550;
2528;
2471;
2427;
2420;
2474;
2535;
2546;
2510;
2448;
2422;
2436;
2502;
2544;
2542;
2488;
2434;
2418;
2461;
2520;
2554;
2528;
2467;
2424;
2420;
2478;
2538;
2547;
2508;
2444;
2418;
2443;
2506;
2546;
2540;
2498;
2442;
2423;
2458;
2518;
2551;
2532;
2470;
2422;
2419;
2478;
2539;
2548;
2508;
2451;
2421;
2442;
2508;
2546;
2538;
2487;
2432;
2430;
2460;
2524;
2548;
2518;
2466;
2427;
2436;
2487;
2532;
2540;
2508;
2460;
2424;
